,scene_name,object_id,category,x,y,z,size_x,size_y,size_z
0,apartment_0,_2,book,4.33353328704834,-0.7949652671813965,6.805285453796387,0.3539543151855469,0.2260291576385498,0.22657394409179688
1,apartment_0,_3,rug,-0.16325175762176514,-1.4061274528503418,7.513017654418945,2.0279123783111572,0.10663080215454102,1.5083751678466797
2,apartment_0,_4,table,-0.5034710168838501,-0.9329595565795898,3.7327980995178223,1.6020281314849854,0.9833314418792725,1.172022819519043
3,apartment_0,_5,mat,0.8364031314849854,-0.5359874367713928,-2.1206777095794678,0.40557169914245605,0.02178061008453369,0.3965950012207031
4,apartment_0,_6,indoor-plant,3.4340953826904297,-0.8878254890441895,4.280872821807861,0.10684347152709961,0.13519859313964844,0.10437965393066406
5,apartment_0,_7,book,3.5905566215515137,-0.3046746253967285,4.263590335845947,0.31411123275756836,0.03616166114807129,0.290496826171875
6,apartment_0,_8,rack,3.5209457874298096,-0.6077365875244141,4.187082290649414,0.7490859031677246,1.8453876972198486,0.4626617431640625
7,apartment_0,_9,basket,2.833627700805664,-0.6561505794525146,-3.5510315895080566,0.050131797790527344,0.005052447319030762,0.04205751419067383
8,apartment_0,_10,basket,2.9763503074645996,-0.6317574977874756,-3.510545492172241,0.09165668487548828,0.04145097732543945,0.09843111038208008
9,apartment_0,_11,nightstand,2.4648303985595703,1.6326055526733398,8.902843475341797,0.614891529083252,0.673471212387085,0.6426200866699219
10,apartment_0,_12,comforter,1.715613603591919,1.6012248992919922,8.266207695007324,1.3490196466445923,0.6462061405181885,2.1186580657958984
11,apartment_0,_13,wall,1.99749755859375,2.496530055999756,9.24528694152832,3.70522403717041,2.4769906997680664,0.8193893432617188
12,apartment_0,_14,floor,1.246936321258545,1.3110573291778564,3.360445976257324,9.586681365966797,0.3096647262573242,12.774351119995117
13,apartment_0,_15,comforter,-1.6659895181655884,1.7388832569122314,4.2824554443359375,2.14115309715271,0.8051652908325195,1.3529882431030273
14,apartment_0,_16,wall,-2.7069056034088135,2.5712685585021973,4.337141990661621,0.785682201385498,2.3699913024902344,4.259890556335449
15,apartment_0,_17,wall,0.5249903202056885,2.4952902793884277,-2.4800901412963867,3.69114351272583,2.5160508155822754,1.0457358360290527
16,apartment_0,_19,wall,1.8356600999832153,2.4861910343170166,1.7063169479370117,0.31044483184814453,2.3540587425231934,1.8859047889709473
17,apartment_0,_20,wall,5.7559003829956055,0.31593751907348633,6.475466728210449,0.7232227325439453,3.76279878616333,4.568583011627197
18,apartment_0,_21,wall,5.221160888671875,1.9493913650512695,6.337464332580566,1.1265716552734375,1.9110068082809448,0.18306636810302734
19,apartment_0,_22,wall,4.642406940460205,1.9598579406738281,5.972164154052734,0.17522144317626953,1.8951932191848755,0.8578624725341797
